requirement_id,total_links,found_links,top1_hits,top5_hits,top10_hits,best_rank,avg_rank_found,found_rate,difficulty_label
SMOS1,7,1,0,1,1,5.0,5.0,0.1429,mixed
SMOS10,19,4,1,3,4,1.0,4.75,0.2105,mixed
SMOS11,19,6,0,3,6,3.0,5.5,0.3158,mixed
SMOS12,19,5,0,3,5,3.0,5.2,0.2632,mixed
SMOS13,19,5,0,2,5,3.0,5.8,0.2632,mixed
SMOS14,20,5,1,1,5,1.0,7.0,0.25,mixed
SMOS15,20,4,1,1,4,1.0,6.0,0.2,mixed
SMOS16,20,2,0,1,2,3.0,4.5,0.1,mixed
SMOS17,20,4,0,1,4,4.0,6.25,0.2,mixed
SMOS18,20,4,0,2,4,2.0,5.0,0.2,mixed
SMOS19,20,5,0,1,5,3.0,7.2,0.25,mixed
SMOS2,7,1,0,0,1,7.0,7.0,0.1429,mixed
SMOS20,20,2,0,1,2,5.0,6.5,0.1,mixed
SMOS21,20,4,0,1,4,2.0,7.25,0.2,mixed
SMOS22,20,3,1,2,3,1.0,4.333333333333333,0.15,mixed
SMOS23,20,4,1,1,4,1.0,6.75,0.2,mixed
SMOS24,20,3,1,1,3,1.0,5.333333333333333,0.15,mixed
SMOS25,20,3,1,2,3,1.0,4.333333333333333,0.15,mixed
SMOS26,20,4,1,2,4,1.0,6.25,0.2,mixed
SMOS27,17,2,0,2,2,2.0,3.0,0.1176,mixed
SMOS28,17,2,1,2,2,1.0,2.0,0.1176,mixed
SMOS29,17,2,1,2,2,1.0,2.0,0.1176,mixed
SMOS3,7,1,1,1,1,1.0,1.0,0.1429,mixed
SMOS30,17,2,0,2,2,2.0,3.0,0.1176,mixed
SMOS31,17,3,1,1,3,1.0,5.666666666666667,0.1765,mixed
SMOS32,17,5,0,2,5,4.0,6.0,0.2941,mixed
SMOS33,17,3,0,1,3,5.0,6.666666666666667,0.1765,mixed
SMOS34,17,3,1,3,3,1.0,3.3333333333333335,0.1765,mixed
SMOS35,17,3,0,1,3,5.0,6.0,0.1765,mixed
SMOS36,17,5,0,2,5,3.0,6.0,0.2941,mixed
SMOS37,17,2,1,1,2,1.0,3.5,0.1176,mixed
SMOS38,17,3,0,1,3,2.0,5.0,0.1765,mixed
SMOS39,17,2,0,1,2,3.0,5.0,0.1176,mixed
SMOS4,7,0,0,0,0,,,0.0,hard
SMOS40,17,4,1,2,4,1.0,4.75,0.2353,mixed
SMOS41,17,3,0,2,3,2.0,5.666666666666667,0.1765,mixed
SMOS42,17,3,1,3,3,1.0,2.6666666666666665,0.1765,mixed
SMOS43,17,2,1,2,2,1.0,1.5,0.1176,mixed
SMOS44,17,3,0,1,3,4.0,6.0,0.1765,mixed
SMOS45,9,1,0,0,1,7.0,7.0,0.1111,mixed
SMOS46,9,1,0,0,1,8.0,8.0,0.1111,mixed
SMOS47,9,1,0,0,1,10.0,10.0,0.1111,mixed
SMOS48,9,1,0,0,1,10.0,10.0,0.1111,mixed
SMOS49,19,5,0,2,5,4.0,6.4,0.2632,mixed
SMOS5,19,2,1,1,2,1.0,4.0,0.1053,mixed
SMOS50,19,5,0,2,5,2.0,6.0,0.2632,mixed
SMOS51,19,4,0,2,4,3.0,6.0,0.2105,mixed
SMOS52,10,0,0,0,0,,,0.0,hard
SMOS53,17,3,1,1,3,1.0,4.666666666666667,0.1765,mixed
SMOS54,17,2,1,2,2,1.0,1.5,0.1176,mixed
SMOS55,17,2,1,2,2,1.0,2.0,0.1176,mixed
SMOS56,10,1,0,1,1,4.0,4.0,0.1,mixed
SMOS57,10,2,0,1,2,4.0,7.0,0.2,mixed
SMOS58,9,1,0,0,1,9.0,9.0,0.1111,mixed
SMOS59,9,1,0,0,1,7.0,7.0,0.1111,mixed
SMOS6,19,3,0,1,3,4.0,7.0,0.1579,mixed
SMOS60,10,2,0,2,2,2.0,3.5,0.2,mixed
SMOS61,10,2,1,2,2,1.0,2.0,0.2,mixed
SMOS62,9,2,0,0,2,6.0,6.5,0.2222,mixed
SMOS63,10,2,0,1,2,4.0,6.5,0.2,mixed
SMOS64,10,2,0,1,2,2.0,5.0,0.2,mixed
SMOS65,10,3,0,1,3,4.0,7.333333333333333,0.3,mixed
SMOS66,9,1,0,1,1,5.0,5.0,0.1111,mixed
SMOS67,19,3,0,2,3,2.0,5.333333333333333,0.1579,mixed
SMOS7,19,2,1,1,2,1.0,5.0,0.1053,mixed
SMOS8,19,2,0,1,2,2.0,4.0,0.1053,mixed
SMOS9,19,3,0,3,3,3.0,4.0,0.1579,mixed
